participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
1,1,0,0,1,0.0,0,0.48,9.75,0.97,9.8099,0.1156,0.2127,-0.0753,-2.63,84.94,205.13,1.0494,9.8132,0.799,9.9014
1,1,0,0,1,0.13,130,0.65,10.19,0.66,10.232,0.048,0.2454,0.036,-2.75,84.88,203.38,0.9968,9.8628,0.7807,9.9438
1,1,0,0,1,0.26,260,0.22,9.77,1.04,9.8277,0.0644,0.1418,-0.204,-2.31,84.25,201.63,0.8944,9.8506,0.8149,9.9246
1,1,0,0,1,0.39,390,0.26,9.82,0.9,9.8646,0.0458,0.0709,-0.1222,-1.0,84.06,199.56,0.8108,9.8466,0.8261,9.9144
1,1,0,0,1,0.52,520,0.13,9.82,0.97,9.8686,0.0327,0.0982,-0.1287,-0.19,83.69,197.94,0.7211,9.8431,0.845,9.9055
1,1,0,0,1,0.65,650,-0.22,9.66,1.08,9.7227,0.0185,0.1222,-0.1134,0.5,83.56,196.38,0.5971,9.8189,0.876,9.876
1,1,0,0,1,0.781,781,0.0,10.05,1.06,10.1057,0.0153,0.1767,-0.0218,0.31,83.56,195.5,0.5184,9.8494,0.9002,9.904
1,1,0,0,1,0.954,954,-0.14,9.79,1.28,9.8743,0.0164,-0.0262,0.0829,0.56,83.25,194.5,0.4316,9.8416,0.9503,9.8967
1,1,0,0,1,1.084,1084,-0.54,10.29,1.34,10.3909,0.0742,-0.0851,-0.1113,0.13,83.0,195.38,0.3036,9.9007,1.0016,9.9558
1,1,0,0,1,1.215,1215,-0.4,10.69,1.68,10.8286,0.3676,0.0524,-0.1724,-0.06,81.38,195.81,0.2109,10.0047,1.091,10.0662
1,1,0,0,1,1.345,1345,-0.75,10.11,1.92,10.318,0.5138,0.1233,-0.5531,3.13,78.13,191.69,0.0843,10.0185,1.2003,10.0905
1,1,0,0,1,1.475,1475,-1.72,10.24,2.58,10.6992,0.4156,-0.0185,-0.961,8.94,74.56,185.31,-0.1535,10.0477,1.3821,10.1435
1,1,0,0,1,1.605,1605,-3.22,9.49,2.97,10.4522,0.4952,-0.0098,-1.3832,17.63,70.69,176.69,-0.5576,9.9742,1.5913,10.1158
1,1,0,0,1,1.735,1735,-4.1,8.56,3.2,10.0162,0.4243,-0.0109,-1.6275,27.5,65.75,166.81,-1.0244,9.7879,1.8033,10.0052
1,1,0,0,1,1.865,1865,-4.85,6.81,3.46,9.0482,0.3447,-0.024,-1.6362,37.75,59.5,155.81,-1.5285,9.3955,2.0216,9.7313
1,1,0,0,1,2.038,2038,-6.84,5.47,3.75,9.5273,0.2509,-0.0327,-1.3003,48.88,50.13,142.88,-2.2284,8.8782,2.2494,9.4259
1,1,0,0,1,2.171,2171,-8.0,4.02,4.06,9.8308,0.3305,0.1985,-1.165,54.75,39.44,134.44,-2.989,8.238,2.488,9.1098
1,1,0,0,1,2.302,2302,-7.69,2.6,4.04,9.0674,0.4734,0.1505,-1.1639,58.19,23.44,126.88,-3.6084,7.4951,2.6925,8.7434
1,1,0,0,1,2.436,2436,-7.51,0.89,4.29,8.6946,0.4178,0.1745,-0.889,59.31,7.88,121.19,-4.1226,6.6247,2.903,8.3252
1,1,0,0,1,2.566,2566,-7.25,-0.78,4.45,8.5424,0.3709,-0.1484,-1.0385,59.06,-7.5,115.75,-4.5347,5.6489,3.1069,7.882
1,1,0,0,1,2.697,2697,-6.96,-2.94,4.31,8.6984,-0.0033,-0.3414,-0.3916,60.56,-18.06,111.56,-4.8543,4.5171,3.2654,7.3913
1,1,0,0,1,2.827,2827,-7.21,-2.12,4.44,8.7288,-0.0535,0.4701,1.0843,59.94,-13.06,113.69,-5.1647,3.6425,3.4202,7.1861
1,2,0,0,1,2.958,2958,-7.99,0.85,4.92,9.4217,-0.1451,0.2127,1.2174,57.69,3.44,122.56,-5.537,3.2745,3.6178,7.3804
1,2,0,0,1,3.131,3131,-9.06,1.86,5.01,10.5187,-0.0055,-0.2127,1.4388,56.25,20.94,133.94,-6.0012,3.0881,3.8013,7.746
1,2,0,0,1,3.262,3262,-7.37,2.87,4.41,9.0555,-0.4222,-0.2542,0.9458,53.25,35.19,141.56,-6.1816,3.0594,3.8815,7.9144
1,2,0,0,1,3.392,3392,-5.94,5.14,3.72,8.6915,-0.5214,-0.1418,1.4214,48.25,48.25,149.63,-6.1498,3.3336,3.8602,7.9896
1,2,0,0,1,3.523,3523,-5.96,7.89,3.07,10.3537,-0.4592,-0.2018,1.5926,40.63,59.06,158.56,-6.1248,3.934,3.7561,8.1913
1,2,0,0,1,3.654,3654,-5.9,8.09,3.24,10.5241,-0.2574,-0.1036,1.0952,32.38,65.31,168.44,-6.0951,4.4816,3.6881,8.4165
1,2,0,0,1,3.786,3786,-3.37,9.28,3.44,10.4551,-0.2989,-0.1342,1.2425,23.44,69.69,177.81,-5.736,5.1139,3.6554,8.5098
1,2,0,0,1,3.917,3917,-2.22,9.71,2.71,10.3226,-0.2956,-0.4014,1.0396,16.0,73.44,187.19,-5.2727,5.7196,3.5308,8.5429
1,2,0,0,1,4.051,4051,-2.3,9.59,2.07,10.0769,-0.2465,-0.2531,0.7701,9.94,76.5,196.13,-4.881,6.2296,3.3383,8.5893
1,2,0,0,1,4.224,4224,-0.62,10.27,1.9,10.4627,-0.2127,-0.0949,0.528,3.44,79.13,204.13,-4.3195,6.762,3.1488,8.6196
1,2,0,0,1,4.354,4354,0.77,9.43,1.57,9.5908,-0.1898,-0.1233,0.9796,-1.19,80.38,209.56,-3.6488,7.1136,2.9407,8.5185
1,2,0,0,1,4.484,4484,1.36,10.06,1.32,10.237,-0.2727,-0.1756,0.8203,-5.75,82.25,215.63,-2.9888,7.5019,2.7272,8.5234
1,2,0,0,1,4.614,4614,0.56,10.56,1.02,10.6239,-0.1473,0.0731,0.4734,-8.25,83.94,219.0,-2.5212,7.9048,2.5022,8.6662
1,2,0,0,1,4.744,4744,1.65,9.64,1.35,9.8729,-0.0175,0.0764,-0.1571,-11.81,83.94,222.31,-1.9715,8.1335,2.3504,8.6928
1,2,0,0,1,4.874,4874,1.8,9.75,1.32,10.0022,0.0709,0.0524,0.2367,-12.25,83.63,222.25,-1.4745,8.3465,2.2146,8.7603
1,2,0,0,1,5.005,5005,1.2,10.77,1.26,10.9097,0.1396,0.1047,-0.3982,-11.25,83.31,220.63,-1.1221,8.6659,2.0888,8.9844
1,2,0,0,1,5.135,5135,0.79,10.41,1.68,10.5742,0.4385,0.2738,-0.8694,-7.69,81.25,215.63,-0.8701,8.8957,2.0349,9.1669
1,2,0,0,1,5.308,5308,0.53,9.91,2.17,10.1586,0.5149,0.24,-1.0537,0.0,76.38,204.5,-0.6856,9.0294,2.0527,9.2851
1,2,0,0,1,5.438,5438,-0.39,9.3,2.47,9.6303,0.1658,-0.1364,-1.2075,7.44,73.88,196.44,-0.6467,9.065,2.1077,9.3293
1,2,0,0,1,5.569,5569,-2.12,9.34,2.3,9.8499,0.0131,-0.1571,-1.2032,16.25,73.63,188.38,-0.8408,9.1013,2.1331,9.3856
1,2,0,0,1,5.699,5699,-3.32,9.23,2.7,10.1738,0.0567,0.2029,-0.9392,24.56,72.44,179.19,-1.1675,9.1182,2.2078,9.4541
1,2,0,0,1,5.83,5830,-4.08,8.17,3.28,9.7033,0.3818,0.3033,-0.9348,31.0,68.25,170.75,-1.5513,8.9933,2.3491,9.4236
1,2,0,0,1,5.961,5961,-5.56,6.86,3.56,9.5209,0.5291,-0.0393,-1.0341,37.06,62.31,164.31,-2.0795,8.7122,2.5086,9.3016
1,2,0,0,1,6.091,6091,-6.47,6.05,3.49,9.5207,0.5029,-0.0753,-1.2392,43.25,56.25,158.81,-2.6581,8.3614,2.6379,9.1617
1,2,0,0,1,6.222,6222,-6.36,4.65,3.91,8.7955,0.4069,0.012,-1.2577,49.06,48.0,153.19,-3.1459,7.8723,2.8056,8.9298
1,2,0,0,1,6.398,6398,-8.29,3.36,3.38,9.5623,-0.0415,-0.3829,-1.3145,58.69,36.38,142.38,-3.8238,7.2777,2.8813,8.7114
1,2,0,0,1,6.529,6529,-7.91,1.4,3.28,8.6768,0.0654,-0.3076,-1.4344,65.31,23.94,133.94,-4.3622,6.5032,2.9338,8.3623
1,2,0,0,1,6.66,6660,-7.24,-1.51,3.33,8.1109,-0.1593,-0.0524,-0.24,68.56,11.06,127.75,-4.7414,5.4472,2.986,7.8147
1,2,0,0,1,6.79,6790,-7.13,0.71,3.04,7.7835,-0.1004,0.0753,1.5304,66.38,25.44,132.56,-5.0562,4.823,2.9931,7.6017
1,3,0,0,1,6.921,6921,-7.3,4.69,3.47,9.3449,-0.0305,0.1178,1.922,58.31,45.44,144.5,-5.3519,4.8055,3.056,7.815
1,3,0,0,1,7.051,7051,-6.16,5.18,3.27,8.6874,0.0894,-0.12,1.7235,49.31,54.88,156.44,-5.4584,4.8548,3.0842,7.9294
1,3,0,0,1,7.181,7181,-5.15,7.03,2.96,9.2035,-0.2454,-0.3916,1.5326,40.06,63.44,168.94,-5.4177,5.1414,3.0678,8.0745
1,3,0,0,1,7.312,7312,-5.67,9.5,2.29,11.2979,-0.0513,-0.2596,1.2643,31.63,69.63,180.0,-5.451,5.7158,2.9653,8.4366
1,3,0,0,1,7.485,7485,-2.62,9.71,2.3,10.3169,-0.3327,0.096,1.1508,19.56,72.56,191.75,-5.0779,6.2421,2.8776,8.5458
1,3,0,0,1,7.616,7616,-1.73,10.11,2.25,10.5008,-0.3109,0.1298,1.057,11.56,75.63,198.69,-4.6368,6.7518,2.7949,8.6544
1,3,0,0,1,7.746,7746,-0.76,10.44,2.04,10.6646,-0.3142,0.1669,0.9654,4.63,78.0,203.81,-4.1259,7.2378,2.6955,8.7564
1,3,0,0,1,7.877,7877,0.11,9.8,1.99,10.0006,-0.2465,0.1418,0.5487,-1.0,79.94,208.69,-3.5677,7.5755,2.6025,8.7686
1,3,0,0,1,8.007,8007,1.26,9.82,1.69,10.0437,-0.2018,-0.0556,0.6829,-6.31,81.56,213.69,-2.9315,7.8712,2.4823,8.7585
1,3,0,0,1,8.138,8138,2.46,9.93,1.0,10.2789,-0.1636,0.0153,0.6141,-11.31,83.13,219.19,-2.2211,8.1425,2.2869,8.7444
1,3,0,0,1,8.269,8269,3.06,9.44,1.15,9.99,-0.1822,0.0404,0.6501,-15.44,83.75,223.31,-1.5252,8.3135,2.1371,8.7182
1,3,0,0,1,8.402,8402,3.21,9.47,0.82,10.0328,-0.2509,-0.0894,0.4778,-18.88,85.13,227.38,-0.9012,8.4659,1.9635,8.7372
1,3,0,0,1,8.575,8575,3.62,10.04,0.76,10.6997,0.132,0.0404,0.3949,-23.31,86.56,232.63,-0.3054,8.6733,1.805,8.8644
1,3,0,0,1,8.706,8706,3.26,10.21,0.99,10.7634,0.0589,0.1647,-0.2291,-22.19,86.38,229.94,0.1644,8.8758,1.6976,9.0382
1,3,0,0,1,8.837,8837,2.54,10.1,1.11,10.4735,0.216,-0.0404,-0.7047,-17.44,85.13,225.06,0.4775,9.0371,1.6201,9.1936
1,3,0,0,1,8.968,8968,2.38,9.84,1.19,10.1934,0.3338,-0.0949,-0.9436,-11.13,83.13,218.69,0.7282,9.1429,1.5635,9.3042
1,3,0,0,1,9.098,9098,1.18,10.49,1.29,10.6347,0.2902,-0.0425,-1.009,-4.38,81.06,212.19,0.7877,9.3204,1.5274,9.4776
1,3,0,0,1,9.228,9228,-0.24,10.3,1.58,10.4232,0.36,0.0644,-1.0516,3.5,78.75,204.19,0.6523,9.4495,1.5343,9.5955
1,3,0,0,1,9.359,9359,-1.57,9.44,2.11,9.7995,0.4385,0.312,-1.0788,12.0,75.19,194.31,0.3594,9.4483,1.6102,9.5912
1,3,0,0,1,9.489,9489,-2.34,8.92,3.04,9.71,0.4549,0.2793,-0.9937,19.0,70.5,185.5,0.0037,9.3787,1.7986,9.5496
1,3,0,0,1,9.662,9662,-3.56,8.2,3.67,9.6635,0.5171,0.1582,-0.8781,26.31,64.0,176.25,-0.4659,9.2233,2.0452,9.4589
1,3,0,0,1,9.793,9793,-5.47,7.32,4.21,10.0612,0.4603,0.2531,-1.1585,32.69,57.5,168.88,-1.1253,8.9725,2.3305,9.3383
1,3,0,0,1,9.924,9924,-5.2,6.04,4.68,9.2425,0.4887,0.1145,-1.0734,37.25,50.31,163.19,-1.6622,8.5861,2.6401,9.1353
1,3,0,0,1,10.055,10055,-6.1,4.6,5.24,9.2643,0.4091,-0.1124,-1.2337,43.06,42.75,156.88,-2.247,8.0608,2.9827,8.8838
1,3,0,0,1,10.185,10185,-6.59,3.54,4.92,8.9536,0.3054,-0.1844,-1.3068,49.5,33.94,149.63,-2.8193,7.4651,3.238,8.6117
1,3,0,0,1,10.317,10317,-7.47,2.38,5.03,9.3148,0.4821,-0.1778,-1.141,54.69,22.63,143.06,-3.4322,6.795,3.4741,8.3679
1,3,0,0,1,10.451,10451,-5.64,-0.83,4.27,7.1226,0.2793,-0.2814,-0.7058,58.19,8.38,137.81,-3.7231,5.7902,3.579,7.7587
1,3,0,0,1,10.582,10582,-8.04,-0.48,4.35,9.1539,-0.2683,-0.0404,0.1865,60.31,6.5,135.31,-4.292,4.964,3.6806,7.5239
1,4,0,0,1,10.755,10755,-7.44,1.9,5.02,9.1741,-0.1953,0.3,1.333,56.06,19.81,142.63,-4.7068,4.5602,3.8571,7.6044
1,4,0,0,1,10.886,10886,-6.62,2.22,4.82,8.4844,-0.3534,0.1124,1.2446,51.13,30.81,150.19,-4.9589,4.2518,3.984,7.6512
1,4,0,0,1,11.016,11016,-6.59,5.37,4.62,9.6752,-0.5312,-0.1233,1.2534,45.19,44.13,159.31,-5.1738,4.3992,4.0678,7.9163
1,4,0,0,1,11.147,11147,-5.81,7.34,4.45,10.365,-0.2509,-0.2422,1.2828,38.31,54.19,168.31,-5.2577,4.7867,4.1182,8.2167
1,4,0,0,1,11.278,11278,-4.25,6.97,4.37,9.2596,-0.4298,-0.0469,1.6133,30.63,60.69,177.69,-5.1249,5.0744,4.1513,8.3215
1,4,0,0,1,11.408,11408,-3.42,8.25,3.09,9.4502,-0.2847,-0.3011,0.9207,24.69,66.5,184.63,-4.9002,5.4929,4.0115,8.3831
1,4,0,0,1,11.539,11539,-1.37,9.81,2.78,10.2879,-0.336,-0.0589,1.3286,16.44,70.5,193.94,-4.435,6.0618,3.8492,8.4398
1,4,0,0,1,11.669,11669,-1.21,9.92,2.68,10.3466,-0.252,0.036,1.3635,9.06,73.06,201.38,-4.0101,6.5702,3.6951,8.5383
1,4,0,0,1,11.842,11842,1.34,9.74,2.79,10.2199,-0.264,-0.0382,1.1454,-0.88,75.31,211.06,-3.3051,6.9879,3.5759,8.5171
1,4,0,0,1,11.976,11976,1.02,9.91,2.21,10.2045,-0.4254,-0.2673,1.057,-6.69,77.75,218.31,-2.7351,7.3729,3.3959,8.5658
1,4,0,0,1,12.107,12107,1.32,10.11,1.5,10.3056,-0.3349,-0.444,0.7472,-11.0,80.63,226.06,-2.2008,7.7336,3.146,8.6342
1,4,0,0,1,12.237,12237,2.65,9.92,1.54,10.3827,-0.3927,-0.2291,0.3534,-16.19,82.13,234.31,-1.5616,8.0217,2.9344,8.6832
1,4,0,0,1,12.368,12368,3.11,9.89,1.06,10.4215,0.0175,0.0076,0.6163,-20.13,83.31,239.25,-0.946,8.2679,2.6874,8.745
1,4,0,0,1,12.498,12498,3.27,9.25,1.12,9.8747,0.024,0.2367,0.4156,-22.38,83.13,240.25,-0.3904,8.3973,2.4809,8.7648
1,4,0,0,1,12.629,12629,3.72,9.64,1.2,10.4023,0.1276,0.0807,0.0305,-25.0,83.25,241.56,0.1512,8.5611,2.3121,8.8691
1,4,0,0,1,12.76,12760,3.46,10.01,1.36,10.6781,0.0927,0.2083,-0.1604,-24.5,82.5,239.88,0.5873,8.752,2.1866,9.0401
1,4,0,0,1,12.933,12933,3.08,10.2,1.59,10.7729,0.6076,0.3534,-0.8356,-19.38,80.69,231.06,0.9157,8.9428,2.108,9.2334
1,4,0,0,1,13.063,13063,2.87,10.56,2.02,11.1279,0.6512,0.3131,-1.0319,-12.38,77.13,220.25,1.1733,9.1559,2.0964,9.4659
1,4,0,0,1,13.194,13194,1.07,9.87,2.79,10.3124,0.5814,0.108,-1.3101,-3.94,73.0,209.31,1.1596,9.25,2.1878,9.5757
1,4,0,0,1,13.324,13324,-0.07,9.99,3.21,10.4933,0.6229,0.072,-1.4388,3.75,69.0,200.44,0.9976,9.3475,2.3225,9.6833
1,4,0,0,1,13.456,13456,-1.05,8.87,3.95,9.7664,0.7439,0.2716,-1.2905,12.06,63.13,190.5,0.7278,9.2846,2.537,9.6524
1,4,0,0,1,13.587,13587,-2.13,7.92,4.81,9.5079,0.7505,0.24,-1.0276,19.5,55.56,180.69,0.3512,9.1048,2.8365,9.5429
1,4,0,0,1,13.722,13722,-3.29,6.13,5.58,8.9184,0.5836,-0.1102,-1.0417,24.75,48.69,174.63,-0.1286,8.7128,3.198,9.2821
1,4,0,0,1,13.852,13852,-4.24,6.0,5.82,9.3728,0.3163,-0.3567,-0.8465,30.25,44.25,169.81,-0.6704,8.3553,3.5435,9.1004
1,4,0,0,1,14.025,14025,-5.86,5.04,5.84,9.6875,0.5203,-0.1669,-0.8498,37.5,37.69,164.31,-1.3542,7.9184,3.8461,8.9067
1,4,0,0,1,14.155,14155,-5.73,3.32,5.77,8.7834,0.4014,-0.1593,-0.913,41.81,30.13,159.81,-1.9309,7.3125,4.0997,8.6028
1,4,0,0,1,14.285,14285,-7.06,2.65,5.78,9.5013,0.1047,-0.5171,-0.9338,46.94,24.06,155.56,-2.6067,6.6981,4.3211,8.3864
1,4,0,0,1,14.415,14415,-7.27,1.98,4.91,8.9934,-0.1102,-0.5738,-0.7679,52.63,19.75,150.25,-3.2212,6.0764,4.3987,8.1638
1,4,0,0,1,14.545,14545,-7.84,0.65,4.54,9.0829,-0.2051,-0.3196,-0.504,57.38,15.88,146.31,-3.8299,5.3613,4.4173,7.9325
1,4,0,0,1,14.676,14676,-7.65,0.16,4.75,9.0061,-0.1713,0.0742,0.4581,58.38,14.88,144.63,-4.3333,4.6759,4.4612,7.781
1,5,0,0,1,14.806,14806,-7.09,1.88,4.66,8.6901,0.1538,0.3818,1.141,53.81,25.13,152.88,-4.6965,4.3075,4.4874,7.7941
1,5,0,0,1,14.937,14937,-5.54,3.4,5.34,8.4123,-0.108,0.3011,1.2152,46.63,33.19,162.19,-4.8077,4.1879,4.5997,7.8619
1,5,0,0,1,15.109,15109,-5.84,6.1,5.13,9.8809,-0.2694,0.0905,1.1028,38.44,43.69,171.88,-4.9437,4.4399,4.6696,8.1214
1,5,0,0,1,15.239,15239,-4.58,5.85,5.21,9.0743,-0.2454,0.1789,0.9534,32.25,47.94,178.13,-4.8958,4.6257,4.7408,8.2366
1,5,0,0,1,15.369,15369,-2.64,7.06,4.85,8.963,-0.685,-0.0196,1.3581,25.63,54.25,184.0,-4.5985,4.9465,4.7552,8.2599
1,5,0,0,1,15.499,15499,-2.26,9.1,3.95,10.1745,-0.6381,-0.1527,1.2523,18.25,61.88,192.13,-4.2904,5.4938,4.6491,8.3787
1,5,0,0,1,15.629,15629,-1.29,9.31,3.7,10.101,-0.3829,-0.0011,1.2261,10.44,66.44,200.63,-3.895,5.9967,4.524,8.4616
1,5,0,0,1,15.759,15759,0.14,9.98,3.52,10.5835,-0.4178,0.0491,1.2075,2.13,69.63,208.75,-3.3633,6.5216,4.3917,8.5516
1,5,0,0,1,15.89,15890,0.8,9.88,2.86,10.3167,-0.3894,-0.0753,0.8508,-3.44,72.56,214.25,-2.8147,6.9641,4.1899,8.601
1,5,0,0,1,16.02,16020,1.77,10.07,2.33,10.4865,-0.216,-0.1647,0.7549,-9.44,74.69,221.19,-2.2105,7.3734,3.9448,8.6496
1,5,0,0,1,16.193,16193,2.92,9.77,1.85,10.3635,-0.2367,0.2367,0.564,-15.38,76.94,226.56,-1.5345,7.6892,3.6688,8.6567
1,5,0,0,1,16.323,16323,3.43,8.72,2.16,9.6161,-0.2683,0.048,0.684,-19.69,78.13,230.19,-0.8803,7.825,3.4699,8.605
1,5,0,0,1,16.454,16454,3.44,9.44,1.54,10.1646,-0.4058,-0.0884,0.1974,-22.13,80.88,233.81,-0.311,8.0379,3.2156,8.6628
1,5,0,0,1,16.584,16584,2.91,9.44,1.71,10.0253,-0.3316,0.0709,0.1713,-23.81,82.63,237.06,0.1135,8.2226,3.0172,8.7595
1,5,0,0,1,16.715,16715,3.61,9.9,1.22,10.608,0.0087,0.1069,-0.3294,-24.69,84.75,237.5,0.5742,8.4437,2.7804,8.9082
1,5,0,0,1,16.846,16846,3.08,9.89,1.4,10.4527,0.1778,0.1865,-0.5651,-21.25,84.0,232.5,0.9044,8.6342,2.5985,9.062
1,5,0,0,1,16.976,16976,1.98,10.21,1.2,10.4692,0.3065,0.0316,-0.9861,-14.69,83.06,224.69,1.0462,8.8419,2.4142,9.2251
