participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
4,1,2,5,2,00.000,0,-0.3100,-0.1700,9.9200,9.9263,0.1364,-0.0764,-0.0109,2.69,-1.44,296.38,-0.3833,-0.2507,9.7184,9.7292
4,1,2,5,2,00.131,131,-0.4900,-0.2600,9.9000,9.9155,-0.0207,0.0436,-0.0360,3.00,-1.69,296.44,-0.3974,-0.2519,9.7424,9.7537
4,1,2,5,2,00.261,261,-0.4800,-0.2100,9.8500,9.8639,-0.0284,0.0196,-0.0022,2.75,-1.50,296.38,-0.4083,-0.2464,9.7565,9.7682
4,1,2,5,2,00.434,434,-0.5100,-0.2100,9.8600,9.8754,0.0829,-0.0764,0.0338,2.88,-1.69,296.38,-0.4217,-0.2416,9.7702,9.7823
4,1,2,5,2,00.564,564,-0.5300,-0.2600,9.6800,9.6980,-0.0033,0.0087,0.0011,3.13,-1.75,296.50,-0.4359,-0.2440,9.7583,9.7711
4,1,2,5,2,00.694,694,-0.6600,-0.2900,10.1600,10.1855,-0.0033,0.0131,0.0000,3.06,-1.75,296.50,-0.4655,-0.2501,9.8112,9.8254
4,1,2,5,2,00.824,824,-0.5200,-0.3300,9.8500,9.8692,0.0022,-0.0022,-0.0175,2.69,-1.38,296.31,-0.4727,-0.2606,9.8163,9.8312
4,1,2,5,2,00.954,954,-0.4600,-0.2100,9.8200,9.8330,0.0011,-0.0022,0.0000,2.69,-1.38,296.31,-0.4710,-0.2540,9.8168,9.8314
4,1,2,5,2,01.084,1084,-0.4900,-0.2200,9.8200,9.8347,0.0000,-0.0022,-0.0011,2.69,-1.38,296.31,-0.4735,-0.2495,9.8172,9.8318
4,1,2,5,2,01.214,1214,-0.4800,-0.2100,9.8400,9.8539,-0.0011,0.0022,0.0011,2.69,-1.38,296.31,-0.4744,-0.2443,9.8202,9.8347
4,1,2,5,2,01.344,1344,-0.4600,-0.2200,9.8100,9.8232,0.0000,0.0000,0.0022,2.69,-1.38,296.31,-0.4725,-0.2411,9.8189,9.8332
4,1,2,5,2,01.522,1522,-1.3000,0.5100,10.0600,10.1565,0.1200,-0.0851,-0.2269,2.81,-1.50,296.19,-0.5815,-0.1421,9.8507,9.8688
4,1,2,5,2,01.654,1654,-0.5500,-0.0200,10.2200,10.2348,0.0087,-0.0076,-0.0076,2.81,-1.44,296.19,-0.5774,-0.1260,9.8993,9.9170
4,1,2,5,2,01.785,1785,-0.4400,-0.1700,10.6500,10.6604,0.0055,-0.0033,0.0044,2.88,-1.44,296.19,-0.5593,-0.1318,9.9983,10.0147
4,1,2,5,2,01.915,1915,-0.3600,-0.0400,10.5500,10.5562,-0.0033,0.0109,-0.0011,2.81,-1.50,296.25,-0.5330,-0.1197,10.0710,10.0858
4,1,2,5,2,02.045,2045,-0.4500,0.2500,10.0700,10.0831,0.0000,-0.0055,0.0000,2.88,-1.50,296.25,-0.5221,-0.0710,10.0708,10.0846
4,1,2,5,2,02.175,2175,-0.4200,-0.3700,9.4500,9.4666,0.0044,-0.0109,-0.0033,2.94,-1.56,296.25,-0.5086,-0.1104,9.9890,10.0026
4,1,2,5,2,02.306,2306,-0.6500,-0.3400,9.7700,9.7975,0.0164,0.0458,-0.0109,2.94,-1.63,296.25,-0.5272,-0.1407,9.9602,9.9751
4,1,2,5,2,02.436,2436,-0.4800,-0.3500,9.7800,9.7980,0.0065,-0.0044,-0.0022,2.94,-1.69,296.25,-0.5210,-0.1682,9.9364,9.9515
4,1,2,5,2,02.609,2609,-0.5500,-0.4200,8.7600,8.7873,-0.0076,0.0022,-0.0011,2.94,-1.69,296.25,-0.5248,-0.2014,9.7814,9.7975
4,1,2,5,2,02.740,2740,-0.4800,-0.5900,7.7900,7.8270,0.0033,-0.0055,0.0087,2.94,-1.69,296.19,-0.5189,-0.2526,9.5190,9.5365
4,1,2,5,2,02.876,2876,-0.1200,-0.4900,8.5800,8.5948,0.0011,0.0044,0.0033,3.00,-1.69,296.19,-0.4664,-0.2839,9.3952,9.4111
4,1,2,5,2,03.007,3007,-0.3300,-0.4800,8.9200,8.9390,-0.0273,0.0251,-0.0218,3.00,-1.56,296.19,-0.4484,-0.3097,9.3326,9.3485
4,2,2,5,2,03.138,3138,-0.8000,-0.2400,10.1500,10.1843,-0.0284,0.0109,-0.0033,2.88,-1.50,296.19,-0.4947,-0.3006,9.4403,9.4581
4,2,2,5,2,03.268,3268,-0.4500,-0.2900,10.1400,10.1541,-0.0022,0.0196,-0.0055,2.88,-1.44,296.19,-0.4888,-0.2992,9.5325,9.5497
4,2,2,5,2,03.398,3398,-0.4400,-0.2900,10.4200,10.4333,-0.0033,-0.0044,-0.0011,2.88,-1.44,296.19,-0.4824,-0.2980,9.6495,9.6661
4,2,2,5,2,03.529,3529,-1.0700,0.8200,9.5700,9.6645,-0.0153,-0.0022,0.0175,2.81,-1.44,296.19,-0.5598,-0.1506,9.6390,9.6564
4,2,2,5,2,03.701,3701,-0.4200,-0.2700,9.9100,9.9226,0.0011,-0.0011,0.0000,2.81,-1.44,296.19,-0.5414,-0.1664,9.6747,9.6913
4,2,2,5,2,03.831,3831,-0.5200,-0.2200,9.8400,9.8562,0.0022,-0.0022,0.0000,2.81,-1.44,296.19,-0.5386,-0.1734,9.6965,9.7130
4,2,2,5,2,03.961,3961,-0.5200,-0.0900,9.2300,9.2451,0.0567,-0.0273,0.0393,2.88,-1.50,296.31,-0.5361,-0.1624,9.6350,9.6513
4,2,2,5,2,04.091,4091,-0.5400,-0.7500,10.1500,10.1920,0.0393,-0.0011,0.0011,2.63,-1.13,296.31,-0.5366,-0.2399,9.7029,9.7207
4,2,2,5,2,04.221,4221,-0.5000,-0.1700,9.8700,9.8841,0.0022,-0.0033,0.0000,2.63,-1.19,296.31,-0.5318,-0.2307,9.7249,9.7422
4,2,2,5,2,04.351,4351,-0.4900,-0.1200,9.8600,9.8729,0.0000,0.0055,-0.0044,2.69,-1.19,296.31,-0.5263,-0.2161,9.7427,9.7593
4,2,2,5,2,04.481,4481,-0.4300,-0.1600,9.8300,9.8407,-0.0022,0.0000,0.0011,2.69,-1.19,296.31,-0.5136,-0.2087,9.7542,9.7700
4,2,2,5,2,04.611,4611,-0.4400,-0.1600,9.8300,9.8411,0.0000,0.0011,0.0011,2.69,-1.19,296.31,-0.5039,-0.2023,9.7642,9.7793
4,2,2,5,2,04.784,4784,-0.1700,0.1100,10.4300,10.4320,0.0055,-0.0087,0.0022,2.69,-1.19,296.31,-0.4599,-0.1611,9.8519,9.8640
4,2,2,5,2,04.915,4915,-0.2900,0.7600,11.4700,11.4988,-0.0229,0.0076,0.0033,2.81,-1.44,296.00,-0.4375,-0.0397,10.0652,10.0747
4,2,2,5,2,05.046,5046,-0.4400,-0.2600,10.9500,10.9619,0.0131,-0.0065,-0.0022,2.81,-1.44,296.00,-0.4378,-0.0688,10.1818,10.1914
4,2,2,5,2,05.180,5180,-0.4600,-0.3200,11.1700,11.1840,0.0076,-0.0022,0.0044,2.81,-1.44,296.00,-0.4408,-0.1019,10.3120,10.3219
4,2,2,5,2,05.313,5313,-0.5500,-0.6400,10.3400,10.3744,0.0109,-0.0153,0.0022,2.88,-1.44,296.00,-0.4552,-0.1728,10.3157,10.3272
4,2,2,5,2,05.444,5444,-0.7400,0.0900,9.7700,9.7984,0.0218,-0.0218,0.0153,2.88,-1.50,296.00,-0.4927,-0.1382,10.2438,10.2565
4,2,2,5,2,05.574,5574,-0.6800,-0.1000,9.6500,9.6744,0.0109,-0.0153,0.0076,2.94,-1.56,296.06,-0.5174,-0.1331,10.1655,10.1796
4,2,2,5,2,05.704,5704,0.6700,-0.8000,9.3100,9.3683,0.0120,0.0142,-0.0098,2.88,-1.63,296.00,-0.3609,-0.2210,10.0528,10.0617
4,2,2,5,2,05.877,5877,-0.6300,-0.2700,10.0000,10.0235,0.0109,0.0065,-0.0120,2.88,-1.69,296.00,-0.3964,-0.2275,10.0458,10.0562
4,2,2,5,2,06.008,6008,-0.4800,-0.0400,9.1900,9.2026,-0.0033,-0.0033,-0.0175,2.88,-1.69,296.00,-0.4074,-0.2028,9.9331,9.9435
4,2,2,5,2,06.144,6144,-0.5300,-0.3200,8.5000,8.5225,-0.0011,0.0033,0.0098,2.88,-1.69,296.00,-0.4235,-0.2182,9.7442,9.7559
4,2,2,5,2,06.275,6275,-0.3500,-0.4000,9.5000,9.5149,0.0033,-0.0033,-0.0087,2.88,-1.69,296.00,-0.4139,-0.2422,9.7120,9.7239
4,2,2,5,2,06.406,6406,-0.5100,-0.2200,9.0300,9.0471,-0.0109,0.0022,0.0164,2.88,-1.69,296.00,-0.4265,-0.2392,9.6222,9.6346
4,2,2,5,2,06.536,6536,-0.5100,-0.0400,8.5500,8.5653,-0.0087,0.0033,-0.0055,2.94,-1.69,296.06,-0.4375,-0.2130,9.4809,9.4934
4,2,2,5,2,06.666,6666,-0.7200,-0.2200,9.0600,9.0912,-0.0316,0.0175,-0.0338,2.94,-1.63,296.06,-0.4747,-0.2139,9.4254,9.4398
4,3,2,5,2,06.797,6797,-0.4200,-0.2100,9.8900,9.9011,0.0109,-0.0044,0.0011,2.88,-1.56,296.00,-0.4675,-0.2134,9.4866,9.5005
4,3,2,5,2,06.970,6970,-0.4400,-0.4500,11.2900,11.3075,0.0022,-0.0098,0.0022,2.81,-1.44,296.00,-0.4639,-0.2446,9.7243,9.7384
4,3,2,5,2,07.101,7101,-0.4500,-0.1900,10.4400,10.4514,-0.0011,0.0011,-0.0044,2.88,-1.44,296.00,-0.4621,-0.2374,9.8186,9.8323
4,3,2,5,2,07.235,7235,-0.5500,0.0600,10.2900,10.3049,-0.0033,-0.0153,-0.0436,2.81,-1.50,296.06,-0.4737,-0.1982,9.8807,9.8940
4,3,2,5,2,07.368,7368,-0.3900,-0.2000,9.9300,9.9397,0.0033,0.0000,-0.0022,2.81,-1.44,296.06,-0.4626,-0.1984,9.8872,9.9000
4,3,2,5,2,07.499,7499,-0.5300,-0.2000,9.8600,9.8763,0.0022,0.0000,0.0044,2.81,-1.44,296.06,-0.4715,-0.1986,9.8836,9.8969
4,3,2,5,2,07.629,7629,-0.1200,0.3400,9.0000,9.0072,0.1134,0.0131,-0.0033,2.63,-1.06,296.25,-0.4252,-0.1277,9.7672,9.7773
4,3,2,5,2,07.759,7759,-0.5100,-0.1900,9.8500,9.8650,-0.0011,-0.0044,0.0011,2.63,-1.25,296.25,-0.4364,-0.1359,9.7781,9.7888
4,3,2,5,2,07.889,7889,-0.5100,-0.2200,9.8400,9.8557,0.0022,-0.0011,-0.0011,2.63,-1.25,296.25,-0.4461,-0.1470,9.7863,9.7975
4,3,2,5,2,08.062,8062,-0.5400,-0.2000,9.8600,9.8768,-0.0022,0.0000,-0.0011,2.63,-1.25,296.25,-0.4584,-0.1540,9.7960,9.8079
4,3,2,5,2,08.192,8192,-0.4000,-0.2200,9.8100,9.8206,-0.0011,0.0011,0.0022,2.63,-1.25,296.25,-0.4507,-0.1627,9.7978,9.8095
4,3,2,5,2,08.322,8322,-0.5300,-0.2200,9.8300,9.8467,-0.0022,0.0022,0.0000,2.63,-1.25,296.25,-0.4612,-0.1702,9.8021,9.8144
4,3,2,5,2,08.452,8452,-0.4800,-0.2200,9.8400,9.8542,0.0011,-0.0033,0.0011,2.63,-1.25,296.25,-0.4637,-0.1768,9.8071,9.8196
4,3,2,5,2,08.582,8582,-0.4700,-0.1700,9.8400,9.8527,0.0022,-0.0011,0.0000,2.63,-1.25,296.25,-0.4645,-0.1759,9.8114,9.8240
4,3,2,5,2,08.712,8712,-1.0800,-0.6900,15.5600,15.6127,-0.0600,0.0207,-0.1014,2.75,-1.38,296.75,-0.5456,-0.2436,10.5689,10.5858
4,3,2,5,2,08.842,8842,-1.1900,0.0600,12.5700,12.6263,0.0316,-0.0382,-0.0022,2.88,-1.50,296.81,-0.6305,-0.2036,10.8326,10.8529
